<Category ID>,<Category Type>,<Parent Category ID>,<Language1>,<Name1>,<Description1>
CA_2001,1,,EN,Apple repair Centre,Apple repair Centre
CA_2002,1,,EN,eStore,eStore
CA_2003,1,,EN,In-store,In-store
CA_2004,1,,EN,Moneyback,Moneyback
CA_2005,2,CA_2001,EN,Complaint,Complaint
CA_2006,5,CA_2005,EN,CentreOperation - Service Attitude,CentreOperation - Service Attitude
CA_2007,5,CA_2005,EN,CentreOperation - Service Handling,CentreOperation - Service Handling
CA_2008,5,CA_2005,EN,CentreOperation - Shopping Environment,CentreOperation - Shopping Environment
CA_2009,5,CA_2005,EN,CentreOperation - Injury/ Asset Damage,CentreOperation - Injury/ Asset Damage
CA_2010,2,CA_2001,EN,General ,General 
CA_2011,5,CA_2010,EN,Other - Wrong Price/Offer,Other - Wrong Price/Offer
CA_2012,5,CA_2010,EN,Other - Policy,Other - Policy
CA_2013,5,CA_2010,EN,Other – Trading Descriptions Ordinance,Other – Trading Descriptions Ordinance
CA_2014,5,CA_2010,EN,Other - Others,Other - Others
CA_2015,2,CA_2001,EN,iCoin issues,iCoin issues
CA_2016,5,CA_2015,EN,System - iClub System Issue,System - iClub System Issue
CA_2017,5,CA_2015,EN,Earn issue,Earn issue
CA_2018,5,CA_2015,EN,Redeem issue,Redeem issue
CA_2019,2,CA_2001,EN,ITDepartment,ITDepartment
CA_2020,5,CA_2019,EN,System - EJ order,System - EJ order
CA_2021,5,CA_2019,EN,System - Others,System - Others
CA_2022,2,CA_2001,EN,Merchandising,Merchandising
CA_2023,5,CA_2022,EN,Agent Product Quality,Agent Product Quality
CA_2024,5,CA_2022,EN,Agent Product Quality,Agent Product Quality
CA_2025,5,CA_2022,EN,Wrong product information (TDO),Wrong product information (TDO)
CA_2026,2,CA_2001,EN,Point issues,Point issues
CA_2027,5,CA_2026,EN,System - MoneyBack Points,System - MoneyBack Points
CA_2028,5,CA_2026,EN,Earn issue,Earn issue
CA_2029,5,CA_2026,EN,Redeem issue,Redeem issue
CA_2030,2,CA_2001,EN,Refund / Replacement,Refund / Replacement
CA_2031,5,CA_2030,EN,Refund Status Checking,Refund Status Checking
CA_2032,2,CA_2001,EN,RetailOperation - Store,RetailOperation - Store
CA_2033,5,CA_2032,EN,Reprint sales memo,Reprint sales memo
CA_2034,5,CA_2032,EN,Order cancelation,Order cancelation
CA_2035,2,CA_2002,EN,Compliment,Compliment
CA_2036,5,CA_2035,EN,Hotline,Hotline
CA_2037,5,CA_2035,EN,CCD,CCD
CA_2038,5,CA_2035,EN,Delivery,Delivery
CA_2039,5,CA_2035,EN,Installation,Installation
CA_2040,5,CA_2035,EN,Proteam,Proteam
CA_2041,2,CA_2002,EN,CustomerCare - CCD,CustomerCare - CCD
CA_2042,5,CA_2041,EN,Service Attitude,Service Attitude
CA_2043,5,CA_2041,EN,Service Handling,Service Handling
CA_2044,5,CA_2041,EN,Late/No Response,Late/No Response
CA_2045,2,CA_2002,EN,CustomerCare - HL,CustomerCare - HL
CA_2046,5,CA_2045,EN,Hotline Busy,Hotline Busy
CA_2047,5,CA_2045,EN,Service Attitude,Service Attitude
CA_2048,5,CA_2045,EN,Service Handling,Service Handling
CA_2049,5,CA_2045,EN,Late/No Response,Late/No Response
CA_2050,2,CA_2002,EN,eCoupon issues,eCoupon issues
CA_2051,5,CA_2050,EN,Usage,Usage
CA_2052,5,CA_2050,EN,Registration,Registration
CA_2053,5,CA_2050,EN,Extension,Extension
CA_2054,5,CA_2050,EN,invalid,invalid
CA_2055,2,CA_2002,EN,General,General
CA_2056,5,CA_2055,EN,General Enquiry,General Enquiry
CA_2057,5,CA_2055,EN,Resend Token,Resend Token
CA_2058,5,CA_2055,EN,Other - Wrong Price/Offer,Other - Wrong Price/Offer
CA_2059,5,CA_2055,EN,Other - Policy,Other - Policy
CA_2060,5,CA_2055,EN,Other – Trading Descriptions Ordinance,Other – Trading Descriptions Ordinance
CA_2061,5,CA_2055,EN,Other - Others,Other - Others
CA_2062,2,CA_2002,EN,iCoin issues,iCoin issues
CA_2063,5,CA_2062,EN,System - iClub System Issue,System - iClub System Issue
CA_2064,5,CA_2062,EN,Earn issue,Earn issue
CA_2065,5,CA_2062,EN,Redeem issue,Redeem issue
CA_2066,2,CA_2002,EN,ITDepartment,ITDepartment
CA_2067,5,CA_2066,EN,System - EJ order/ duplicated payment,System - EJ order/ duplicated payment
CA_2068,5,CA_2066,EN,System - Others,System - Others
CA_2069,2,CA_2002,EN,Marketing,Marketing
CA_2070,5,CA_2069,EN,Campaigns/Events/Promotion,Campaigns/Events/Promotion
CA_2071,5,CA_2069,EN,Bank promotion,Bank promotion
CA_2072,2,CA_2002,EN,Merchandising,Merchandising
CA_2073,5,CA_2072,EN,Own Product Quality,Own Product Quality
CA_2074,5,CA_2072,EN,Own Product Quality,Own Product Quality
CA_2075,5,CA_2072,EN,Agent Product Quality,Agent Product Quality
CA_2076,5,CA_2072,EN,Agent Product Quality,Agent Product Quality
CA_2077,5,CA_2072,EN,Agent Service Handling,Agent Service Handling
