<Category ID>,<Category Type>,<Parent Category ID>,<Language1>,<Name1>,<Description1>
CA_1,1,,EN,網店 eStore,網店 eStore
CA_2,1,,EN,易賞錢 Moneyback,易賞錢 Moneyback
CA_3,1,,EN,門巿 In-store,門巿 In-store
CA_4,2,CA_1,EN,一般 General,一般 General
CA_5,5,CA_4,EN,A1 更改客戶資料 ,A1 更改客戶資料 
CA_6,5,CA_4,EN,A2 迎新優惠,A2 迎新優惠
CA_7,5,CA_4,EN,A3 客人回覆,A3 客人回覆
CA_8,5,CA_4,EN,A4 要求重印帳單,A4 要求重印帳單
CA_9,5,CA_4,EN,A5 追進度 ,A5 追進度 
CA_10,5,CA_4,EN,A6 搵香港同事 ,A6 搵香港同事 
CA_11,5,CA_4,EN,A7 欺詐個案 ,A7 欺詐個案 
CA_12,5,CA_4,EN,A8 測試訂單 ,A8 測試訂單 
CA_13,5,CA_4,EN,A9 意見 ,A9 意見 
CA_14,5,CA_4,EN,A10 錯誤向百佳投訴 - WTC/FTR/others,A10 錯誤向百佳投訴 - WTC/FTR/others
CA_15,2,CA_1,EN,一般查詢 Enquiry,一般查詢 Enquiry
CA_16,5,CA_15,EN,B1 手機App查詢 ,B1 手機App查詢 
CA_17,5,CA_15,EN,B2 付款查詢,B2 付款查詢
CA_18,5,CA_15,EN,B3 其他 ,B3 其他 
CA_19,5,CA_15,EN,B4 易賞錢積分查詢,B4 易賞錢積分查詢
CA_20,5,CA_15,EN,B5 查詢貨品 ,B5 查詢貨品 
CA_21,5,CA_15,EN,B6 帳單查詢,B6 帳單查詢
CA_22,5,CA_15,EN,B7 送貨查詢,B7 送貨查詢
CA_23,5,CA_15,EN,B8 VIP 專貴會員推廣 ,B8 VIP 專貴會員推廣 
CA_24,5,CA_15,EN,B9 推廣優惠查詢 ,B9 推廣優惠查詢 
CA_25,5,CA_15,EN,B10 網站操作查詢 ,B10 網站操作查詢 
CA_26,5,CA_15,EN,B11 銀行推廣優惠 ,B11 銀行推廣優惠 
CA_27,5,CA_15,EN,B12 贈品查詢 ,B12 贈品查詢 
CA_28,5,CA_15,EN,B13 關於抽獎 ,B13 關於抽獎 
CA_29,2,CA_1,EN,大量訂購 Bulk Purchase,大量訂購 Bulk Purchase
CA_30,5,CA_29,EN,C1 查詢跟進情況 ,C1 查詢跟進情況 
CA_31,5,CA_29,EN,C2 貨品 ,C2 貨品 
CA_32,5,CA_29,EN,C3 禮券 ,C3 禮券 
CA_33,2,CA_1,EN,付款問題 Check-out,付款問題 Check-out
CA_34,5,CA_33,EN,E1 App - 未能以AE卡付款 ,E1 App - 未能以AE卡付款 
CA_35,5,CA_33,EN,E2 App - 未能以ApplePay付款,E2 App - 未能以ApplePay付款
CA_36,5,CA_33,EN,E3 App - 未能以Credit卡付款,E3 App - 未能以Credit卡付款
CA_37,5,CA_33,EN,E4 App - 未能以Debit卡付款,E4 App - 未能以Debit卡付款
CA_38,5,CA_33,EN,E5 App - 未能以八達通付款 ,E5 App - 未能以八達通付款 
CA_39,5,CA_33,EN,E6 App - 未能以支付寶付款,E6 App - 未能以支付寶付款
CA_40,5,CA_33,EN,E7 App - 未能以銀聯卡付款,E7 App - 未能以銀聯卡付款
CA_41,5,CA_33,EN,E8 App - 未能建立訂單(已收錢),E8 App - 未能建立訂單(已收錢)
CA_42,5,CA_33,EN,E9 App - 未能建立訂單(無收錢),E9 App - 未能建立訂單(無收錢)
CA_43,5,CA_33,EN,E10 App - 未能付款,E10 App - 未能付款
CA_44,5,CA_33,EN,E11 Website - 未能以AE卡付款 ,E11 Website - 未能以AE卡付款 
CA_45,5,CA_33,EN,E12 Website - 未能以ApplePay付款,E12 Website - 未能以ApplePay付款
CA_46,5,CA_33,EN,E13 Website - 未能以Credit卡付款,E13 Website - 未能以Credit卡付款
CA_47,5,CA_33,EN,E14 Website - 未能以Debit卡付款,E14 Website - 未能以Debit卡付款
