<Category ID>,<Category Type>,<Parent Category ID>,<Language1>,<Name1>,<Description1>,,
CA_1001,1,,EN,網店 eStore,網店 eStore,,
CA_1002,1,,EN,易賞錢 Moneyback,易賞錢 Moneyback,,
CA_1003,1,,EN,實體店 In-store,實體店 In-store,,
CA_1004,2,CA_1001,EN,產品 Products,產品 Products,,
CA_1005,5,CA_1004,EN,其他 Others,其他 Others,,
CA_1006,2,CA_1001,EN,查詢 Enquiry,查詢 Enquiry,,
CA_1007,5,CA_1006,EN,查詢交貨狀態 Check delivery status ,查詢交貨狀態 Check delivery status ,,
CA_1008,5,CA_1006,EN,查詢價錢 Check pricing ,查詢價錢 Check pricing ,,
CA_1009,5,CA_1006,EN,查詢產品資料 Check product information ,查詢產品資料 Check product information ,,
CA_1010,2,CA_1001,EN,退款 / 換貨 Refund / Exchange,退款 / 換貨 Refund / Exchange,,
CA_1011,5,CA_1010,EN,改變主意 Change of mind,改變主意 Change of mind,,
CA_1012,5,CA_1010,EN,收到錯誤貨品 Wrong item received,收到錯誤貨品 Wrong item received,,
CA_1013,5,CA_1010,EN,產品過期/保質期短 Product Expired / short expiry,產品過期/保質期短 Product Expired / short expiry,,
CA_1014,5,CA_1010,EN,物品損壞 Item(s) damaged,物品損壞 Item(s) damaged,,
CA_1015,5,CA_1010,EN,不適合使用 Not suitable for usage,不適合使用 Not suitable for usage,,
CA_1016,5,CA_1010,EN,缺少產品 Missing product ,缺少產品 Missing product ,,
CA_1017,5,CA_1010,EN,其他 Others,其他 Others,,
CA_1018,5,CA_1010,EN,訂單數量/產品/重複 Order Quantity/Item /Repeat,訂單數量/產品/重複 Order Quantity/Item /Repeat,,
CA_1019,5,CA_1010,EN,逾期交貨/物品損壞 Late Delivery / Damage ,逾期交貨/物品損壞 Late Delivery / Damage ,,
CA_1020,5,CA_1010,EN,貨品品質- 其他品牌 Product Quality - AB,貨品品質- 其他品牌 Product Quality - AB,,
CA_1021,5,CA_1010,EN,貨品品質 - 自家品牌 OB Product Quality - OB,貨品品質 - 自家品牌 OB Product Quality - OB,,
CA_1022,5,CA_1010,EN,產品描述 Product Description,產品描述 Product Description,,
CA_1023,5,CA_1010,EN,贈品問題 Premium Issue ,贈品問題 Premium Issue ,,
CA_1024,5,CA_1010,EN,折扣問題 Discount Issue ,折扣問題 Discount Issue ,,
